goos: linux
goarch: amd64
pkg: routerbench
cpu: 13th Gen Intel(R) Core(TM) i7-13700H
BenchmarkParallel/static/echo-http-20               	83401502	         4.734 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	80872905	         4.670 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	71695837	         4.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/bunrouter-20               	 2885499	       117.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 3083332	       116.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 2991998	       120.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 3037100	       119.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 3021117	       121.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 3114688	       128.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-http-20          	 2920009	       118.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-http-20          	 2635976	       123.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-http-20          	 3020672	       121.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-http-20          	 3044385	       120.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-http-20          	 2613015	       119.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-http-20          	 3046357	       125.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/gorilla-20                 	 1353550	       268.0 ns/op	     849 B/op	       7 allocs/op
BenchmarkParallel/static/gorilla-20                 	 1321950	       263.6 ns/op	     849 B/op	       7 allocs/op
BenchmarkParallel/static/gorilla-20                 	 1334136	       269.7 ns/op	     849 B/op	       7 allocs/op
BenchmarkParallel/static/gorilla-20                 	 1352086	       264.3 ns/op	     849 B/op	       7 allocs/op
BenchmarkParallel/static/gorilla-20                 	 1332123	       262.3 ns/op	     849 B/op	       7 allocs/op
BenchmarkParallel/static/gorilla-20                 	 1309136	       266.8 ns/op	     849 B/op	       7 allocs/op
BenchmarkParallel/static/fiber-20                   	 8299927	        45.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/fiber-20                   	 8291742	        48.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/fiber-20                   	 8388990	        45.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/fiber-20                   	 8383518	        45.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/fiber-20                   	 7773504	        47.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/fiber-20                   	 8196823	        46.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/fiber-http-20              	 1228672	       296.1 ns/op	     696 B/op	      10 allocs/op
